id,long,lat,Mode,fid,h3,Commune,CodeCom,CodeProv,Province
node/10078226377,-6.77348171,34.05248761,bus,6079,8839ab9147fffff,Layayda,7,441,Salé
node/10078226378,-6.77359931,34.05254671,bus,6079,8839ab9147fffff,Tabriquet,9,441,Salé
node/10078226379,-6.76969071,34.05846771,bus,6081,8839ab9143fffff,Layayda,7,441,Salé
node/10078226380,-6.76772861,34.06051811,bus,6081,8839ab9143fffff,Layayda,7,441,Salé
node/10078226381,-6.76518821,34.06321901,bus,6081,8839ab9143fffff,Layayda,7,441,Salé
node/10078226382,-6.76324071,34.06530131,bus,6069,8839ab915dfffff,Layayda,7,441,Salé
node/10078226387,-6.76091481,34.06820461,bus,6069,8839ab915dfffff,Layayda,7,441,Salé
node/10078226388,-6.76102721,34.06831941,bus,6069,8839ab915dfffff,Layayda,7,441,Salé
node/10078226389,-6.75513821,34.07492801,bus,6071,8839ab9159fffff,Layayda,7,441,Salé
node/10078226390,-6.75507811,34.07537491,bus,6071,8839ab9159fffff,Layayda,7,441,Salé
node/10078284180,-6.80214751,34.03606681,bus,21762,8839a864b3fffff,Bettana,5,441,Salé
node/10078284181,-6.80228941,34.03620651,bus,21762,8839a864b3fffff,Tabriquet,9,441,Salé
node/10078284182,-6.79887491,34.03900961,bus,6062,8839ab916dfffff,Bettana,5,441,Salé
node/10078284183,-6.79896671,34.03912641,bus,6062,8839ab916dfffff,Tabriquet,9,441,Salé
node/10078284184,-6.79231701,34.04624221,bus,6064,8839ab9169fffff,Bettana,5,441,Salé
node/10078284185,-6.79281581,34.04656521,bus,6064,8839ab9169fffff,Tabriquet,9,441,Salé
node/10078284186,-6.78361101,34.05113381,bus,6063,8839ab916bfffff,Tabriquet,9,441,Salé
node/10078284187,-6.78369091,34.05120851,bus,6063,8839ab916bfffff,Tabriquet,9,441,Salé
node/10078284188,-6.78309161,34.05387871,bus,6080,8839ab9145fffff,Tabriquet,9,441,Salé
node/10078284189,-6.78331871,34.05335331,bus,6080,8839ab9145fffff,Tabriquet,9,441,Salé
node/10078284190,-6.78305771,34.05628711,bus,6080,8839ab9145fffff,Tabriquet,9,441,Salé
node/10078284191,-6.78287551,34.05673741,bus,6080,8839ab9145fffff,Tabriquet,9,441,Salé
node/10078284192,-6.78257331,34.05864221,bus,6080,8839ab9145fffff,Tabriquet,9,441,Salé
node/10078284193,-6.78266731,34.05898271,bus,6082,8839ab9141fffff,Tabriquet,9,441,Salé
node/10078284194,-6.78178481,34.06201331,bus,6082,8839ab9141fffff,Tabriquet,9,441,Salé
node/10078284195,-6.78087121,34.06430781,bus,6082,8839ab9141fffff,Tabriquet,9,441,Salé
node/10078618977,-6.84027681,34.02032881,bus,21766,8839a864a7fffff,Agdal Riyad,1,421,Rabat
node/10078618978,-6.84010231,34.02035541,bus,21766,8839a864a7fffff,Agdal Riyad,1,421,Rabat
node/10078618979,-6.83864751,34.01534241,bus,21746,8839a8659bfffff,Agdal Riyad,1,421,Rabat
node/10078618980,-6.83964861,34.00919321,bus,21750,8839a86593fffff,Agdal Riyad,1,421,Rabat
node/10078618982,-6.85135541,33.99218681,bus,21732,8839a865bbfffff,Agdal Riyad,1,421,Rabat
node/10078618983,-6.85487231,33.98880241,bus,21737,8839a865b1fffff,Agdal Riyad,1,421,Rabat
node/10078618984,-6.85506771,33.98871241,bus,21737,8839a865b1fffff,Agdal Riyad,1,421,Rabat
node/10078618985,-6.85882381,33.98810821,bus,21737,8839a865b1fffff,Agdal Riyad,1,421,Rabat
node/10078618986,-6.85912101,33.98819671,bus,21737,8839a865b1fffff,Agdal Riyad,1,421,Rabat
node/10078618987,-6.86228401,33.98449431,bus,21731,8839a865bdfffff,Agdal Riyad,1,421,Rabat
node/10078618988,-6.86224111,33.98491171,bus,21731,8839a865bdfffff,Agdal Riyad,1,421,Rabat
node/10078618989,-6.86846761,33.97693951,bus,21743,8839a865a3fffff,Agdal Riyad,1,421,Rabat
node/10078618990,-6.86762161,33.97804871,bus,21743,8839a865a3fffff,Agdal Riyad,1,421,Rabat
node/10078618991,-6.87332021,33.97019631,bus,21741,8839a865a7fffff,Agdal Riyad,1,421,Rabat
node/10078618992,-6.87521351,33.96823891,bus,21741,8839a865a7fffff,Agdal Riyad,1,421,Rabat
node/10078618993,-6.87491471,33.96831231,bus,21741,8839a865a7fffff,Agdal Riyad,1,421,Rabat
node/10078618994,-6.88067991,33.96197181,bus,21423,8839a86e9bfffff,Agdal Riyad,1,421,Rabat
node/10078618997,-6.87774821,33.95678441,bus,21427,8839a86e93fffff,Agdal Riyad,1,421,Rabat
node/10078618998,-6.87443391,33.95448381,bus,5550,8839ab9b45fffff,Agdal Riyad,1,421,Rabat
node/10078618999,-6.87202831,33.95270211,bus,5550,8839ab9b45fffff,Agdal Riyad,1,421,Rabat
node/10078619000,-6.86954661,33.94861581,bus,5534,8839ab9b6bfffff,Agdal Riyad,1,421,Rabat
node/10078619002,-6.88583521,33.94040541,bus,5533,8839ab9b6dfffff,Témara,7,501,Skhirate- Témara
node/10078619003,-6.88526291,33.94011441,bus,5533,8839ab9b6dfffff,Témara,7,501,Skhirate- Témara
node/10078634185,-6.88874091,33.93436761,bus,21413,8839a86eb3fffff,Témara,7,501,Skhirate- Témara
node/10078634186,-6.88906511,33.93442221,bus,21413,8839a86eb3fffff,Témara,7,501,Skhirate- Témara
node/10078634187,-6.89391511,33.93182991,bus,21414,8839a86eb1fffff,Témara,7,501,Skhirate- Témara
node/10078634188,-6.89749141,33.93048731,bus,21414,8839a86eb1fffff,Témara,7,501,Skhirate- Témara
node/10078634189,-6.90029791,33.92937041,bus,21412,8839a86eb5fffff,Témara,7,501,Skhirate- Témara
node/10078634190,-6.92275591,33.90479031,bus,21611,8839a86c13fffff,Témara,7,501,Skhirate- Témara
node/10078634191,-6.92445611,33.90316951,bus,21611,8839a86c13fffff,Témara,7,501,Skhirate- Témara
node/10078634192,-6.92628921,33.90151141,bus,21609,8839a86c17fffff,Témara,7,501,Skhirate- Témara
node/10078634193,-6.92545671,33.89986481,bus,21609,8839a86c17fffff,Témara,7,501,Skhirate- Témara
node/10078634194,-6.92849451,33.89707821,bus,21609,8839a86c17fffff,Témara,7,501,Skhirate- Témara
node/10078634195,-6.92875901,33.89712991,bus,21609,8839a86c17fffff,Témara,7,501,Skhirate- Témara
node/10078634197,-6.93046101,33.89565361,bus,21609,8839a86c17fffff,Témara,7,501,Skhirate- Témara
node/10078634198,-6.93069891,33.89515551,bus,21593,8839a86c3bfffff,Témara,7,501,Skhirate- Témara
